eid,Al_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Sc_frac,Si_frac,Sn_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,condition,ph1,ph2,ph3,grain_size_param_1,grain_size_param_2,flag_1,flag_2,flag_3,YM_GPa,YM_err,YS_MPa,YS_err,UTS_MPa,UTS_err,DAR_pct,DAR_err,test_mode,HV,HV_err,Mo_equivalent,Mo_equivalent_class,ref_doi,ref_key,comments
Ti-23Nb-10Zr-2.0Fe,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.1358,0.0,0.0,0.0,0.0,0.0,0.7791,0.0,0.0,0.0617,ST-WQ,Ti-beta,,,1860.0,90.0,1,0,0,79.0,1.0,782.0,62.0,,,10.0,1.0,tension,252.0,8.0,12.88,meta,10.1007/s10853-021-06002-0,salvador2021,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. "
Ti-27Nb-10Zr-1.5Fe,0.0,0.0,0.0,0.015600000000000001,0.0,0.0,0.0,0.16320000000000004,0.0,0.0,0.0,0.0,0.0,0.7575000000000001,0.0,0.0,0.06370000000000002,ST-WQ,Ti-beta,,,1400.0,60.0,1,1,0,78.0,3.0,735.0,94.0,,,9.0,1.0,tension,229.0,2.0,11.65,meta,10.1007/s10853-021-06002-0,salvador2021,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. "
Ti-31Nb-10Zr-1.0Fe,0.0,0.0,0.0,0.0138013801380138,0.0,0.0,0.0,0.18991899189918993,0.0,0.0,0.0,0.0,0.0,0.7298729872987298,0.0,0.0,0.0664066406640664,ST-WQ,Ti-beta,,,1310.0,60.0,1,0,0,77.0,2.0,672.0,99.0,,,15.0,6.0,tension,218.0,5.0,12.08,meta,10.1007/s10853-021-06002-0,salvador2021,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. "
Ti-11Nb-7Zr-3.5Fe,0.0,0.0,0.0,0.0349034903490349,0.0,0.0,0.0,0.061806180618061805,0.0,0.0,0.0,0.0,0.0,0.8622862286228622,0.0,0.0,0.041004100410041,ST-WQ,Ti-beta,Ti-omega,,1640.0,100.0,1,1,0,90.0,2.0,1011.0,17.0,,,4.0,1.0,tension,358.0,3.0,13.78,meta,10.1016/j.matdes.2018.10.040,dalbo2018,Young modulus obtained via tensile tests (Table 3)
Ti-19Nb-6Sn-2.5Fe,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0268,0.0,0.8376,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1280.0,70.0,1,1,0,71.0,2.0,765.0,10.0,,,31.0,5.0,tension,260.0,9.0,12.76,meta,10.1016/j.matdes.2018.10.040,dalbo2018,Young modulus obtained via tensile tests (Table 3)
Ti-19Nb-10Zr-2.5Fe,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.0,0.11370000000000001,0.0,0.0,0.0,0.0,0.0,0.7974000000000001,0.0,0.0,0.061900000000000004,ST-WQ,Ti-beta,Ti-omega,,1570.0,70.0,1,1,0,69.0,1.0,1027.0,33.0,,,8.0,2.0,tension,267.0,3.0,13.12,meta,10.1016/j.matdes.2018.10.040,dalbo2018,Young modulus obtained via tensile tests (Table 3)
Ti-31Nb-1.0Fe,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.1805,0.0,0.0,0.0,0.0,0.0,0.8085,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1400.0,,1,1,0,81.0,3.0,477.0,79.0,,,-32.0,,compression,230.0,11.0,11.55,meta,10.1016/j.jmbbm.2016.09.024,salvador2017,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.
Ti-27Nb-1.5Fe,0.0,0.0,0.0,0.0162,0.0,0.0,0.0,0.1584,0.0,0.0,0.0,0.0,0.0,0.8254,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1300.0,,1,1,0,94.0,2.0,496.0,31.0,,,-33.0,,compression,277.0,16.0,12.23,meta,10.1016/j.jmbbm.2016.09.024,salvador2017,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.
Ti-23Nb-2.0Fe,0.0,0.0,0.0,0.0217,0.0,0.0,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,0.8458,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1300.0,,1,1,0,95.0,5.0,604.0,55.0,,,-34.0,,compression,314.0,6.0,12.89,meta,10.1016/j.jmbbm.2016.09.024,salvador2017,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.
Ti-19Nb-2.5Fe,0.0,0.0,0.0,0.0254,0.0,0.0,0.0,0.1039,0.0,0.0,0.0,0.0,0.0,0.8707,0.0,0.0,0.0,ST-WQ,Ti-beta,Ti-omega,,1600.0,,1,1,0,90.0,3.0,672.0,77.0,,,-32.0,,compression,334.0,4.0,12.92,meta,10.1016/j.jmbbm.2016.09.024,salvador2017,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.
