run_order,table_speed_coded,table_speed_m_s,feed_rate_coded,feed_rate_mm,wheel_grit_coded,wheel_grit,direction_coded,direction,batch_coded,batch,strength
17,-1.0,0.025,-1.0,0.05,-1.0,140/170,-1.0,longitudinal,-1.0,1,680.45
30,1.0,0.125,-1.0,0.05,-1.0,140/170,-1.0,longitudinal,-1.0,1,722.48
14,-1.0,0.025,1.0,0.125,-1.0,140/170,-1.0,longitudinal,-1.0,1,702.14
8,1.0,0.125,1.0,0.125,-1.0,140/170,-1.0,longitudinal,-1.0,1,666.93
32,-1.0,0.025,-1.0,0.05,1.0,80/100,-1.0,longitudinal,-1.0,1,703.67
20,1.0,0.125,-1.0,0.05,1.0,80/100,-1.0,longitudinal,-1.0,1,642.14
26,-1.0,0.025,1.0,0.125,1.0,80/100,-1.0,longitudinal,-1.0,1,692.98
24,1.0,0.125,1.0,0.125,1.0,80/100,-1.0,longitudinal,-1.0,1,669.26
10,-1.0,0.025,-1.0,0.05,-1.0,140/170,1.0,transverse,-1.0,1,491.58
16,1.0,0.125,-1.0,0.05,-1.0,140/170,1.0,transverse,-1.0,1,475.52
27,-1.0,0.025,1.0,0.125,-1.0,140/170,1.0,transverse,-1.0,1,478.76
18,1.0,0.125,1.0,0.125,-1.0,140/170,1.0,transverse,-1.0,1,568.23
3,-1.0,0.025,-1.0,0.05,1.0,80/100,1.0,transverse,-1.0,1,444.72
19,1.0,0.125,-1.0,0.05,1.0,80/100,1.0,transverse,-1.0,1,410.37
31,-1.0,0.025,1.0,0.125,1.0,80/100,1.0,transverse,-1.0,1,428.51
15,1.0,0.125,1.0,0.125,1.0,80/100,1.0,transverse,-1.0,1,491.47
12,-1.0,0.025,-1.0,0.05,-1.0,140/170,-1.0,longitudinal,1.0,2,607.34
1,1.0,0.125,-1.0,0.05,-1.0,140/170,-1.0,longitudinal,1.0,2,620.8
4,-1.0,0.025,1.0,0.125,-1.0,140/170,-1.0,longitudinal,1.0,2,610.55
23,1.0,0.125,1.0,0.125,-1.0,140/170,-1.0,longitudinal,1.0,2,638.04
2,-1.0,0.025,-1.0,0.05,1.0,80/100,-1.0,longitudinal,1.0,2,585.19
28,1.0,0.125,-1.0,0.05,1.0,80/100,-1.0,longitudinal,1.0,2,586.17
11,-1.0,0.025,1.0,0.125,1.0,80/100,-1.0,longitudinal,1.0,2,601.67
9,1.0,0.125,1.0,0.125,1.0,80/100,-1.0,longitudinal,1.0,2,608.31
25,-1.0,0.025,-1.0,0.05,-1.0,140/170,1.0,transverse,1.0,2,442.9
21,1.0,0.125,-1.0,0.05,-1.0,140/170,1.0,transverse,1.0,2,434.41
6,-1.0,0.025,1.0,0.125,-1.0,140/170,1.0,transverse,1.0,2,417.66
7,1.0,0.125,1.0,0.125,-1.0,140/170,1.0,transverse,1.0,2,510.84
5,-1.0,0.025,-1.0,0.05,1.0,80/100,1.0,transverse,1.0,2,392.11
13,1.0,0.125,-1.0,0.05,1.0,80/100,1.0,transverse,1.0,2,343.22
22,-1.0,0.025,1.0,0.125,1.0,80/100,1.0,transverse,1.0,2,385.52
29,1.0,0.125,1.0,0.125,1.0,80/100,1.0,transverse,1.0,2,446.73
