Environment,Material Group,Material Family,Material,Rate (mm/yr) or Rating,Rate (mils/yr) or Rating,Localized Attack,UNS,Condition/Comment,Concentration (Vol %),Temperature (deg C),Temperature (deg F),Duration,Reference #,Reference,rate_mm_yr_numeric,rate_letter_grade
Acetaldehyde,Miscellaneous,Magnesium and alloys,Magnesium ,D (Poor),D (Poor),,,,All,,,,119.0,"Dow Chemical Co., Midland, MI",,D
Acetaldehyde,Miscellaneous,Noble metals,Platinum ,0.05 max ,2 max ,,P04995,,Pure,200-400,390-750,,6.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 803",0.05,
Acetaldehyde,Miscellaneous,Noble metals,Silver ,0.05 max ,2 max ,,P07010,,Pure,200-400,390-750,,10.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 797",0.05,
Acetaldehyde,Refractory metals and alloys,Titanium and alloys,Titanium ,0.001,0.04,,,,75,149,300,,90.0,"N.D. Tomashov and P.M. Altovskii, Corrosion and Protection of Titanium, Government Scientific-Technical Publication of Machine-Building Literature (Russian translation), 1963; L.C. Covington and R.W. Schultz, Corrosion of Resistance of Titanium, TIMET Cor",0.001,
Acetaldehyde,Refractory metals and alloys,Titanium and alloys,Titanium ,A (Resistant),A (Resistant),,,,100,149,300,,90.0,"N.D. Tomashov and P.M. Altovskii, Corrosion and Protection of Titanium, Government Scientific-Technical Publication of Machine-Building Literature (Russian translation), 1963; L.C. Covington and R.W. Schultz, Corrosion of Resistance of Titanium, TIMET Cor",,A
Acetaldehyde,Refractory metals and alloys,Zirconium and alloys,Zr7O2 ,0.05 max ,2 max ,,R60702,,100,Boiling,Boiling,,15.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 711-715",0.05,
Acetaldehyde,Stainless steels,Austenitic,304,0.003,0.1,,S30400,Rayon processing; field or pilot plant test; no aeration; rapid agitation,100,61,142,414 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Austenitic,316,0.1,4.6,Slight pitting ,S31600,"Chemical processing; field or pilot plant test; slight to moderate aeration; rapid agitation. Plus 14.3% acetic acid, 0.3% formic acid, water remainder",70,118,245,169 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.1,
Acetaldehyde,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 8% acetic acid, 3% low boilers, water remainder",70,104,220,100 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",,A
Acetaldehyde,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 12% acetic acid, 3% low boilers, water remainder",50,92,198,246 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",,A
Acetaldehyde,Stainless steels,Austenitic,316,0.003 max ,0.1 max ,,S31600,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 10% acetic acid, 3% low boilers, water remainder",50,92,198,81 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Austenitic,316,0.003,0.1,,S31600,"Chemical processing; field or pilot plant test; slight to moderate aeration; rapid agitation. Plus 14.5% acetic acid, 15% water, 0.5% formic acid",70,99-102,210-215,84.5 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Austenitic,316,0.003,0.1,,S31600,Rayon processing; field or pilot plant test; no aeration; rapid agitation,100,61,142,414 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Austenitic,316,A (Resistant),A (Resistant),,S31600,Rayon processing; field or pilot plant test; no aeration; slight to moderate agitation. Water remainder,97-98,66,150,294 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",,A
Acetaldehyde,Stainless steels,Austenitic,317,A (Resistant),A (Resistant),,S31700,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 10% acetic acid, 3% low boilers, water remainder",50,92,198,81 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",,A
Acetaldehyde,Stainless steels,Austenitic,317,A (Resistant),A (Resistant),,S31700,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 12% acetic acid, 3% low boilers, water remainder",50,92,198,246 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",,A
Acetaldehyde,Stainless steels,Austenitic,317,0.003,0.1,,S31700,"Chemical processing; field or pilot plant test; no aeration; slight to moderate agitation. Plus 8% acetic acid, 3% low boilers, water remainder",70,104,220,100 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Austenitic,317,0.018,0.7,,S31700,"Chemical processing; field or pilot plant test; slight to moderate aeration; rapid agitation. Plus 14.3% acetic acid, 0.3% formic acid, water remainder",70,118,245,169 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.018,
Acetaldehyde,Stainless steels,Austenitic,317,0.003 max ,0.1 max ,,S31700,Rayon processing; field or pilot plant test; no aeration; slight to moderate agitation. Water remainder,97-98,66,150,294 d,89.0,"A Guide to Corrosion Resistance, Climax Molybdenum Company, Greenwich, CT, 1981",0.003,
Acetaldehyde,Stainless steels,Precipitation hardening,AM-363 ,A (Resistant),A (Resistant),,S36300,,Pure,Room,Room,,120.0,Allegheny Ludlum Steel Corp.,,A
Acetamide,Aluminum and alloys,Aluminum-magnesium,Al-1Mn-2Mg ,0.0032,0.12,,,10% H2O,,22,72,360 d,258.0,"Corrosion Handbook, Vol 3, Dieter Behrens, Ed., DECHEMA, Germany, 1988",0.0032,
Acetamide,Aluminum and alloys,Aluminum-magnesium,Al-1Mn-2Mg ,,,,,50% H2O,,22,72,360 d,258.0,"Corrosion Handbook, Vol 3, Dieter Behrens, Ed., DECHEMA, Germany, 1988",,
Acetamide,Aluminum and alloys,Aluminum-magnesium,Al-3Mg ,0.0033,0.13,,,10% H2O,,22,72,360 d,258.0,"Corrosion Handbook, Vol 3, Dieter Behrens, Ed., DECHEMA, Germany, 1988",0.0033,
Acetamide,Aluminum and alloys,Aluminum-magnesium,Al-3Mg ,0.004,0.16,,,50% H2O,,22,72,360 d,258.0,"Corrosion Handbook, Vol 3, Dieter Behrens, Ed., DECHEMA, Germany, 1988",0.004,
Acetic Acid,Aluminum and alloys,99.0% min Al,Aluminum (>99.5%) ,C (Questionable),C (Questionable),,A91350,0-100% solution,,0-118,32-244,,92.0,"F. King, Aluminum and Its Alloys, Ellis Horwood, Chichester, England, 1987, p 282-291",,C
Acetic Acid,Aluminum and alloys,Aluminum-manganese,Aluminum-manganese alloys ,C (Questionable),C (Questionable),,,0-100% solution,,0-118,32-244,,92.0,"F. King, Aluminum and Its Alloys, Ellis Horwood, Chichester, England, 1987, p 282-291",,C
Acetic Acid,Carbon and alloy steels,Alloy steel,"16Ni, 8Cr, 5Si, 1Cu ",0.03,1,,,Glacial,,80,,96 h,206.0,"S.J. Bullard, D.E. Larson, and J.S. Dunning, Oxidation and Corrosion Resistance of Two Fe-8Cr-16Ni-Si-Cu Alloys, Corrosion, Vol 48, (No. 11), NACE, USA, 1992, p 891-897",0.03,
Acetic Acid,Carbon and alloy steels,Alloy steel,"16Ni, 8Cr, 5Si, 1Cu, 1Mo ",0.03,1,,,Glacial,,,,96 h,206.0,"S.J. Bullard, D.E. Larson, and J.S. Dunning, Oxidation and Corrosion Resistance of Two Fe-8Cr-16Ni-Si-Cu Alloys, Corrosion, Vol 48, (No. 11), NACE, USA, 1992, p 891-897",0.03,
Acetic Acid,Copper and alloys,Aluminum bronze,Aluminum bronze ,B (Good),B (Good),,,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Aluminum bronze,"Ampco 8, aluminum bronze ",0.05 max ,2 max ,,C61300,"Generally suitable, crude",,,,,96.0,"Stock Metals, Ampco Metal Company, 1988",0.05,
Acetic Acid,Copper and alloys,Aluminum bronze,"Ampco 8, aluminum bronze ",0.5 max ,20 max ,,C61300,Generally suitable. Conditions such as aeration or temperature could restrict use. Vapors,,,,,96.0,"Stock Metals, Ampco Metal Company, 1988",0.5,
Acetic Acid,Copper and alloys,Brass,Brass ,C (Questionable),C (Questionable),,,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,C
Acetic Acid,Copper and alloys,Brass,Cartridge brass ,D (Poor),D (Poor),,C26000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,D
Acetic Acid,Copper and alloys,Brass,Commercial bronze ,B (Good),B (Good),,C22000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Brass,Muntz metal ,D (Poor),D (Poor),,C28000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,D
Acetic Acid,Copper and alloys,Brass,Red brass ,B (Good),B (Good),,C23000,,,,,,93.0,"H. Leidheiser, Jr., The Corrosion of Copper, Tin and Their Alloys, John Wiley & Sons, New York, 1971, p 90-96",,B
Acetic Acid,Copper and alloys,Copper,C11000 ,0.005,0.2,,C11000,,Pure,,,2448 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.005,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.483,19,,C11000,Plus an acetic anhydride acetone mixture,,110-140,230-285,1115 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.483,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.066-0.07 ,2.6-2.8 ,,C11000,Plus an acetic anhydride acetone mixture,,110-140,230-285,2952 h,70.0,"Metals Handbook, Ninth Edition, Vol 13, Corrosion, ASM International, Metals Park, OH, 1987, p 629",0.068,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.06,2.4,,C11000,Annealed. Test specimens were exposed in cycle feed lines,90,30-50,86-122,672 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.06,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.03,1.2,,C11000,Annealed. Test specimens were exposed in cycle feed lines,90,30-50,86-122,816 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.03,
Acetic Acid,Copper and alloys,Copper,C11000 ,0.09,3.6,,C11000,Cold worked. Test specimens were exposed in cycle feed lines,90,30-50,86-122,672 h,69.0,"Metals Handbook, Ninth Edition, Vol 2, Properties and Selection: Nonferrous Alloys and Pure Metals, American Society for Metals, Metals Park, OH, 1979, p 476",0.09,
