curve_id,specimen_mark,specimen_type,surface_treatment,load_mode,fully_reversed,stress_amplitude_MPa,cycles,is_runout,point_comment
1,10,"solid bar, circular, unnotched",turned,push-pull,True,700.0,9290,False,crack (central part)
1,11,"solid bar, circular, unnotched",turned,push-pull,True,550.0,87107,False,broken
1,12,"solid bar, circular, unnotched",turned,push-pull,True,500.0,514828,False,"broken, metallography"
1,13,"solid bar, circular, unnotched",turned,push-pull,True,520.0,482531,False,crack (central part)
1,15,"solid bar, circular, unnotched",turned,push-pull,True,480.0,42761351,True,
1,15B,"solid bar, circular, unnotched",turned,push-pull,True,720.0,7095,False,broken
1,16,"solid bar, circular, unnotched",turned,push-pull,True,500.0,10172700,True,
1,16B,"solid bar, circular, unnotched",turned,push-pull,True,740.0,3169,False,no crack found
1,17,"solid bar, circular, unnotched",turned,push-pull,True,510.0,445521,False,crack (central part)
1,8,"solid bar, circular, unnotched",turned,push-pull,True,600.0,54496,False,crack (central part)
1,9,"solid bar, circular, unnotched",turned,push-pull,True,650.0,27701,False,crack (central part)
2,1,"solid bar, circular, unnotched",turned,push-pull,True,600.0,16188,False,no crack
2,10,"solid bar, circular, unnotched",turned,push-pull,True,525.0,247962,False,crack (transition to fillet)
2,2,"solid bar, circular, unnotched",turned,push-pull,True,550.0,79927,False,crack (transition to fillet)
2,3,"solid bar, circular, unnotched",turned,push-pull,True,500.0,385388,False,crack (central part)
2,4,"solid bar, circular, unnotched",turned,push-pull,True,575.0,43062,False,broken in the 2nd run
2,5,"solid bar, circular, unnotched",turned,push-pull,True,450.0,10000000,True,
2,6,"solid bar, circular, unnotched",turned,push-pull,True,480.0,1966321,False,"crack, radiography"
2,7,"solid bar, circular, unnotched",turned,push-pull,True,640.0,6647,False,no crack
2,8,"solid bar, circular, unnotched",turned,push-pull,True,470.0,10000000,True,
2,8B,"solid bar, circular, unnotched",turned,push-pull,True,640.0,4888,False,no crack
2,9,"solid bar, circular, unnotched",turned,push-pull,True,490.0,687077,False,"crack (transition to fillet), radiography"
3,1,"solid bar, circular, unnotched",turned,push-pull,True,553.3,219101,False,crack (central part)
3,10,"solid bar, circular, unnotched",turned,push-pull,True,490.0,6200803,False,metallography
3,2,"solid bar, circular, unnotched",turned,push-pull,True,497.5,542000,False,crack (central part)
3,3,"solid bar, circular, unnotched",turned,push-pull,True,602.1,48213,False,crack (central part)
3,4,"solid bar, circular, unnotched",turned,push-pull,True,530.0,244258,False,broken
3,5,"solid bar, circular, unnotched",turned,push-pull,True,650.0,7023,False,broken
3,6,"solid bar, circular, unnotched",turned,push-pull,True,510.0,593010,False,crack (central part)
3,7,"solid bar, circular, unnotched",turned,push-pull,True,510.0,1049796,False,"broken, radiography"
3,8,"solid bar, circular, unnotched",turned,push-pull,True,650.0,7268,False,crack (central part)
3,9,"solid bar, circular, unnotched",turned,push-pull,True,480.0,6212392,False,"crack (central part), radiography"
4,1,"solid bar, circular, unnotched",turned,push-pull,True,480.0,2036795,False,crack (transition fillet)
4,10,"solid bar, circular, unnotched",turned,push-pull,True,490.0,768957,False,"metallography, no crack found"
4,2,"solid bar, circular, unnotched",turned,push-pull,True,470.0,1602723,True,"broken at threads, radiography"
4,3,"solid bar, circular, unnotched",turned,push-pull,True,600.0,11362,False,no crack
4,4,"solid bar, circular, unnotched",turned,push-pull,True,550.0,66638,False,no crack
4,5,"solid bar, circular, unnotched",turned,push-pull,True,500.0,1020122,False,"no crack, radiography"
4,6,"solid bar, circular, unnotched",turned,push-pull,True,575.0,24209,False,no crack
4,7,"solid bar, circular, unnotched",turned,push-pull,True,650.0,2284,False,no crack
4,8,"solid bar, circular, unnotched",turned,push-pull,True,530.0,179247,False,no crack
4,9,"solid bar, circular, unnotched",turned,push-pull,True,510.0,634817,False,crack (transition fillet)
5,1,"hollow bar, unnotched",turned,push-pull,True,600.0,31061,False,
5,10,"hollow bar, unnotched",turned,push-pull,True,530.0,234635,False,
5,2,"hollow bar, unnotched",turned,push-pull,True,650.0,15942,False,
5,3,"hollow bar, unnotched",turned,push-pull,True,550.0,26183,False,
5,4,"hollow bar, unnotched",turned,push-pull,True,550.0,159012,False,
5,5,"hollow bar, unnotched",turned,push-pull,True,530.0,246761,False,
5,6,"hollow bar, unnotched",turned,push-pull,True,525.0,503907,False,
5,7,"hollow bar, unnotched",turned,push-pull,True,520.0,137306,False,
5,8,"hollow bar, unnotched",turned,push-pull,True,510.0,20899649,True,
5,8B,"hollow bar, unnotched",turned,push-pull,True,700.0,8404,False,
5,9,"hollow bar, unnotched",turned,push-pull,True,520.0,10035415,True,
5,9B,"hollow bar, unnotched",turned,push-pull,True,750.0,4995,False,
6,1,"hollow bar, unnotched",turned,push-pull,True,594.8,28750,False,
6,10,"hollow bar, unnotched",turned,push-pull,True,500.2,16725927,False,
6,2,"hollow bar, unnotched",turned,push-pull,True,499.9,310828,False,
6,3,"hollow bar, unnotched",turned,push-pull,True,562.7,73450,False,
6,4,"hollow bar, unnotched",turned,push-pull,True,429.8,10000000,True,
6,4B,"hollow bar, unnotched",turned,push-pull,True,644.8,5125,False,
6,5,"hollow bar, unnotched",turned,push-pull,True,500.0,168515,False,
6,6,"hollow bar, unnotched",turned,push-pull,True,627.1,28019,False,
6,7,"hollow bar, unnotched",turned,push-pull,True,452.1,10000000,True,
6,7B,"hollow bar, unnotched",turned,push-pull,True,678.2,4507,False,
6,8,"hollow bar, unnotched",turned,push-pull,True,500.0,108534,False,
6,9,"hollow bar, unnotched",turned,push-pull,True,451.3,35000000,True,
6,9B,"hollow bar, unnotched",turned,push-pull,True,701.9,1657,False,
7,1,"hollow bar, unnotched",turned,push-pull,True,600.0,115808,False,
7,10,"hollow bar, unnotched",turned,push-pull,True,542.5,60000000,True,
7,10B,"hollow bar, unnotched",turned,push-pull,True,750.0,3981,False,
7,2,"hollow bar, unnotched",turned,push-pull,True,550.0,295584,False,
7,3,"hollow bar, unnotched",turned,push-pull,True,675.0,55141,False,
7,4,"hollow bar, unnotched",turned,push-pull,True,650.0,49331,False,
7,5,"hollow bar, unnotched",turned,push-pull,True,500.0,66380216,True,
7,5B,"hollow bar, unnotched",turned,push-pull,True,730.0,3001,False,
7,6,"hollow bar, unnotched",turned,push-pull,True,550.0,261497,False,
7,7,"hollow bar, unnotched",turned,push-pull,True,700.0,14447,False,
7,8,"hollow bar, unnotched",turned,push-pull,True,520.0,2161482,False,
7,9,"hollow bar, unnotched",turned,push-pull,True,535.0,14075737,True,
7,9B,"hollow bar, unnotched",turned,push-pull,True,715.0,14266,False,
8,1,"hollow bar, unnotched",turned,push-pull,True,550.0,87352,False,
8,10,"hollow bar, unnotched",turned,push-pull,True,490.0,186845,False,
8,2,"hollow bar, unnotched",turned,push-pull,True,600.0,45862,False,
8,3,"hollow bar, unnotched",turned,push-pull,True,650.0,25852,False,
8,4,"hollow bar, unnotched",turned,push-pull,True,520.0,122516,False,
8,5,"hollow bar, unnotched",turned,push-pull,True,700.0,4918,False,
8,6,"hollow bar, unnotched",turned,push-pull,True,680.0,8118,False,
8,7,"hollow bar, unnotched",turned,push-pull,True,490.0,10024790,True,
8,7B,"hollow bar, unnotched",turned,push-pull,True,720.0,1170,False,
8,8,"hollow bar, unnotched",turned,push-pull,True,510.0,128075,False,
8,9,"hollow bar, unnotched",turned,push-pull,True,500.0,186490,False,
10,18,"solid bar, circular, unnotched",turned,push-pull,False,600.0,130306,False,
10,19,"solid bar, circular, unnotched",turned,push-pull,False,650.0,12647,False,
10,2,"solid bar, circular, unnotched",turned,push-pull,False,510.0,10845119,True,
10,20,"solid bar, circular, unnotched",turned,push-pull,False,570.0,200371,False,
10,21,"solid bar, circular, unnotched",turned,push-pull,False,550.0,348437,False,
10,2B,"solid bar, circular, unnotched",turned,push-pull,False,675.0,34734,False,
10,3,"solid bar, circular, unnotched",turned,push-pull,False,520.0,584964,False,
10,4,"solid bar, circular, unnotched",turned,push-pull,False,630.0,61082,False,
10,5,"solid bar, circular, unnotched",turned,push-pull,False,650.0,36635,False,
10,6,"solid bar, circular, unnotched",turned,push-pull,False,530.0,520076,False,
14,1,"solid bar, circular, unnotched",turned,push-pull,True,565.0,249280,False,
14,10,"solid bar, circular, unnotched",turned,push-pull,True,538.0,10000000,True,
14,10B,"solid bar, circular, unnotched",turned,push-pull,True,750.0,5122,False,
14,2,"solid bar, circular, unnotched",turned,push-pull,True,543.0,750578,False,
14,4,"solid bar, circular, unnotched",turned,push-pull,True,650.0,40287,False,
14,5,"solid bar, circular, unnotched",turned,push-pull,True,521.0,10000000,True,
14,5B,"solid bar, circular, unnotched",turned,push-pull,True,820.0,3595,False,
14,6,"solid bar, circular, unnotched",turned,push-pull,True,600.0,138351,False,
14,7,"solid bar, circular, unnotched",turned,push-pull,True,500.0,10000000,True,
14,7B,"solid bar, circular, unnotched",turned,push-pull,True,700.0,18247,False,
14,8,"solid bar, circular, unnotched",turned,push-pull,True,532.0,10000000,True,
14,8B,"solid bar, circular, unnotched",turned,push-pull,True,760.0,3165,False,
14,9,"solid bar, circular, unnotched",turned,push-pull,True,538.0,337642,False,
16,1,"hollow bar, unnotched",turned,push-pull,True,505.0,205221,False,
16,10,"hollow bar, unnotched",turned,push-pull,True,490.0,226630,False,
16,2,"hollow bar, unnotched",turned,push-pull,True,650.0,35776,False,
16,3,"hollow bar, unnotched",turned,push-pull,True,550.0,148454,False,
16,4,"hollow bar, unnotched",turned,push-pull,True,600.0,54037,False,
16,5,"hollow bar, unnotched",turned,push-pull,True,520.0,187013,False,
16,6,"hollow bar, unnotched",turned,push-pull,True,700.0,6932,False,
16,7,"hollow bar, unnotched",turned,push-pull,True,505.0,172877,False,
16,8,"hollow bar, unnotched",turned,push-pull,True,490.0,10895975,False,
16,8B,"hollow bar, unnotched",turned,push-pull,True,750.0,3648,False,
16,9,"hollow bar, unnotched",turned,push-pull,True,497.5,128226,False,
17,1,"hollow bar, unnotched",turned,torsion,True,392.8,60775,False,
17,2,"hollow bar, unnotched",turned,torsion,True,406.6,39587,False,
17,3,"hollow bar, unnotched",turned,torsion,True,361.4,2744253,False,
17,4,"hollow bar, unnotched",turned,torsion,True,386.2,305430,False,
17,5,"hollow bar, unnotched",turned,torsion,True,377.2,270052,False,
17,6,"hollow bar, unnotched",turned,torsion,True,372.7,1924448,False,
17,7,"hollow bar, unnotched",turned,torsion,True,340.2,10083200,True,
17,7B,"hollow bar, unnotched",turned,torsion,True,442.7,5890,False,
17,8,"hollow bar, unnotched",turned,torsion,True,350.1,2807444,False,
21,S1,"solid bar, circular, unnotched",turned,push-pull,True,650.3905894272871,171909,False,
21,S2,"solid bar, circular, unnotched",turned,push-pull,True,869.3928422531641,1062,False,
21,S3,"solid bar, circular, unnotched",turned,push-pull,True,719.9119056359236,33330,False,
21,S4,"solid bar, circular, unnotched",turned,push-pull,True,600.829802509961,201298,False,
21,S6,"solid bar, circular, unnotched",turned,push-pull,True,780.1836000612568,7043,False,
21,S7,"solid bar, circular, unnotched",turned,push-pull,True,680.7057789009764,55273,False,
21,S8,"solid bar, circular, unnotched",turned,push-pull,True,600.4889446022197,506820,False,
22,C1,"solid bar, circular, unnotched",turned,push-pull,True,650.3168178922562,39098,False,
22,C2,"solid bar, circular, unnotched",turned,push-pull,True,700.5,10613,False,
22,C3,"solid bar, circular, unnotched",turned,push-pull,True,609.9,96948,False,
22,C4,"solid bar, circular, unnotched",turned,push-pull,True,625.7,82983,False,
22,C5,"solid bar, circular, unnotched",turned,push-pull,True,600.8,4000000,True,
22,C5B,"solid bar, circular, unnotched",turned,push-pull,True,712.7,38290,False,
22,C6,"solid bar, circular, unnotched",turned,push-pull,True,748.1,3672,False,
25,1,"solid bar, circular, unnotched",turned,push-pull,True,350.0,1800014,False,
25,10,"solid bar, circular, unnotched",turned,push-pull,True,450.0,211643,False,
25,2,"solid bar, circular, unnotched",turned,push-pull,True,375.0,1949021,False,
25,3,"solid bar, circular, unnotched",turned,push-pull,True,400.0,1537475,False,
25,4,"solid bar, circular, unnotched",turned,push-pull,True,425.0,246675,False,
25,5,"solid bar, circular, unnotched",turned,push-pull,True,575.0,53701,False,
25,6,"solid bar, circular, unnotched",turned,push-pull,True,525.0,104702,False,
25,7,"solid bar, circular, unnotched",turned,push-pull,True,500.0,259739,False,
25,8,"solid bar, circular, unnotched",turned,push-pull,True,475.0,301200,False,
25,9,"solid bar, circular, unnotched",turned,push-pull,True,625.0,24971,False,
26,1,"solid bar, circular, unnotched",turned,push-pull,True,350.0,2022310,False,
26,10,"solid bar, circular, unnotched",turned,push-pull,True,400.0,2702896,False,
26,2,"solid bar, circular, unnotched",turned,push-pull,True,375.0,1447487,False,
26,3,"solid bar, circular, unnotched",turned,push-pull,True,575.0,50401,False,
26,4,"solid bar, circular, unnotched",turned,push-pull,True,525.0,49443,False,
26,5,"solid bar, circular, unnotched",turned,push-pull,True,500.0,83524,False,
26,6,"solid bar, circular, unnotched",turned,push-pull,True,475.0,202523,False,
26,7,"solid bar, circular, unnotched",turned,push-pull,True,625.0,27711,False,
26,8,"solid bar, circular, unnotched",turned,push-pull,True,450.0,127183,False,
26,9,"solid bar, circular, unnotched",turned,push-pull,True,425.0,282078,False,
27,1,"solid bar, circular, unnotched",turned,push-pull,True,400.0,11667970,False,
27,10,"solid bar, circular, unnotched",turned,push-pull,True,437.5,343820,False,
27,2,"solid bar, circular, unnotched",turned,push-pull,True,412.5,719809,False,
27,3,"solid bar, circular, unnotched",turned,push-pull,True,575.0,54115,False,
27,4,"solid bar, circular, unnotched",turned,push-pull,True,525.0,127151,False,
27,5,"solid bar, circular, unnotched",turned,push-pull,True,500.0,184348,False,
27,6,"solid bar, circular, unnotched",turned,push-pull,True,475.0,198333,False,
27,7,"solid bar, circular, unnotched",turned,push-pull,True,625.0,32309,False,
27,8,"solid bar, circular, unnotched",turned,push-pull,True,450.0,307081,False,
27,9,"solid bar, circular, unnotched",turned,push-pull,True,425.0,1278066,False,
28,1,"solid bar, circular, unnotched",turned,push-pull,True,350.0,3672974,False,
28,10,"solid bar, circular, unnotched",turned,push-pull,True,400.0,235894,False,
28,2,"solid bar, circular, unnotched",turned,push-pull,True,375.0,363429,False,
28,3,"solid bar, circular, unnotched",turned,push-pull,True,575.0,43118,False,
28,4,"solid bar, circular, unnotched",turned,push-pull,True,525.0,72708,False,
28,5,"solid bar, circular, unnotched",turned,push-pull,True,500.0,102391,False,
28,6,"solid bar, circular, unnotched",turned,push-pull,True,475.0,79494,False,
