grain_size_um,inv_sqrt_grain_size,yield_strength_mpa
6.6,389.249,69.71
7.3,370.117,62.43
8.9,335.201,64.55
9.7,321.081,60.68
10.8,304.29,54.79
14.2,265.372,59.17
15.5,254.0,51.07
17.9,236.36,51.48
18.7,231.249,50.88
21.3,216.676,50.21
23.2,207.614,54.38
23.3,207.168,48.61
26.0,196.116,45.92
26.3,194.994,45.62
28.1,188.646,47.25
29.4,184.428,44.59
32.9,174.342,42.66
47.2,145.556,41.44
49.7,141.848,39.1
51.2,139.754,40.62
66.0,123.091,40.56
67.8,121.447,38.13
70.4,119.183,38.45
73.4,116.722,36.37
78.2,113.083,42.85
81.2,110.974,37.08
82.2,110.297,38.33
82.5,110.096,38.82
85.3,108.274,34.96
88.4,106.359,35.47
92.9,103.751,33.62
98.8,100.605,36.36
