symbol,atomic_number,atomic_radius,atomic_volume,block,density,dipole_polarizability,electron_affinity,evaporation_heat,fusion_heat,group_id,lattice_constant,lattice_structure,name,period,series_id,specific_heat_capacity,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,proton_affinity,gas_basicity,heat_of_formation,c6,abundance_crust,abundance_sea,atomic_weight,is_monoisotopic,is_radioactive,atomic_radius_rahm,geochemical_class,goldschmidt_class,metallic_radius,metallic_radius_c12,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,discovery_year,mendeleev_number,pettifor_number,glawe_number,molar_heat_capacity
H,1,25,14.1,s,8.20E-05,4.50711,0.754195,0.904,0.117,1,3.75,HEX,Hydrogen,1,1,14.304,0.1815,110,31,32,2.2,,,217.998,6.499026705,1400,108000,1.008,,0,154,volatile,atmophile,,78,,,1766,105,103,103,28.836
He,2,120,31.8,s,0.000164,1.38375,-19.7,0.08,,18,3.57,HEX,Helium,1,2,5.193,0.152,140,28,46,,177.8,148.5,,1.42,0.008,7.00E-06,4.002602,,0,134,volatile,atmophile,,122,,,1895,112,1,1,20.786
Li,3,145,13.1,s,0.534,164.1125,0.618049,148,2.89,1,3.49,BCC,Lithium,2,3,3.582,84.8,182,128,133,0.98,,,159.3,1392,20,0.18,6.94,,0,220,alkali metal,litophile,123,155,124,,1817,1,12,12,24.86
Be,4,105,5,s,1.85,37.74,-2.4,309,12.21,2,2.29,HEX,Beryllium,2,4,1.825,201,153,96,102,1.57,,,324,227,2.8,5.60E-06,9.0121831,1,0,219,alkaline earth metal,litophile,89,112,90,85,1798,75,77,77,16.443
B,5,85,4.6,p,2.34,20.5,0.279723,504.5,23.6,13,8.73,TET,Boron,2,5,1.026,27.4,192,84,85,2.04,,,565,99.5,10,4.44,10.81,,0,205,,litophile,80,98,78,73,1808,81,86,86,11.087
C,6,70,5.3,p,2.2,11.3,1.262119,,,14,3.57,DIA,Carbon,2,1,0.709,1.59,170,73,75,2.55,,,716.87,46.6,200,28,12.011,,0,190,semi-volatile,atmophile,,86,67,60,,87,95,87,8.517
N,7,65,17.3,p,0.001145,7.4,-1.4,,,15,4.039,HEX,Nitrogen,2,1,1.04,0.026,155,71,71,3.04,342.2,318.7,472.44,24.2,19,0.5,14.007,,0,179,volatile,atmophile,,53,60,54,1772,93,100,88,29.124
O,8,60,14,p,0.001308,5.3,1.4611135,,,16,6.83,CUB,Oxygen,2,1,0.918,0.027,152,66,63,3.44,485.2,459.6,249.229,15.6,461000,857000,15.999,,0,171,major,litophile,,,57,53,1774,99,101,97,29.378
F,9,50,17.1,p,0.001553,3.74,3.4011897,6.54,0.51,17,,MCL,Fluorine,2,6,0.824,0.028,147,57,64,3.98,340.1,315.1,79.335,9.52,585,1.3,18.99840316,1,0,163,semi-volatile,litophile,,,59,53,1886,106,102,102,31.304
Ne,10,160,16.8,p,0.000825,2.6611,,1.74,,18,4.43,FCC,Neon,2,2,1.03,,154,58,67,,198.8,174.4,,6.2,0.005,0.00012,20.1797,,0,156,volatile,atmophile,,,96,,1898,113,2,2,20.786
Na,11,180,23.7,s,0.97,162.7,0.547926,97.9,2.64,1,4.23,BCC,Sodium,3,3,1.228,142,227,166,155,0.93,,,107.5,1518,23600,10800,22.98976928,1,0,225,major,litophile,157,190,160,,1807,2,11,11,28.23
Mg,12,150,14,s,1.74,71.2,,131.8,9.2,2,3.21,HEX,Magnesium,3,4,1.023,156,173,141,139,1.31,819.6,797.3,147.1,626,23300,1290,24.305,,0,240,major,litophile,136,160,132,127,1808,76,73,73,24.869
