material_id,formula_pretty,nelements,nsites,crystal_system,density,formation_energy_per_atom,band_gap,energy_above_hull
mp-13,Fe,1,2,Cubic,7.902858241785766,0.0,0.0,0.0
mp-51,Li,1,1,Cubic,0.5664547506799501,0.0016723733333336988,0.0,0.0016723733333336988
mp-135,Li,1,1,Cubic,0.566612617777099,0.009650863333333426,0.0,0.009650863333333426
mp-136,Fe,1,2,Hexagonal,9.40774412148467,0.09780592000000077,0.0,0.09780592000000077
mp-150,Fe,1,1,Cubic,7.593373845581131,0.14836450000000134,0.0,0.14836450000000134
mp-841,Li2O2,2,8,Hexagonal,2.414495377117451,-1.6501702366666664,1.9742999999999997,0.0
mp-1456,Fe2O3,2,160,Tetragonal,4.561835820694543,-1.58773147175,1.5673,0.11935988124999941
mp-1960,Li2O,2,3,Cubic,1.9693024788017823,-2.0615979138888885,4.8986,0.0
mp-10173,Li,1,2,Hexagonal,0.5732924179549858,0.005987748333333709,0.0,0.005987748333333709
mp-12957,O2,1,8,Monoclinic,1.974484493998944,0.0,1.3316,0.0
mp-18731,Fe3O4,2,14,Orthorhombic,5.323013172831347,-1.5368970028571423,0.7548000000000004,0.10574521714285723
mp-18782,LiFeO2,3,8,Tetragonal,4.2317054019843345,-1.924714834583333,0.0,0.02022191312499988
mp-18905,FeO,2,4,Cubic,6.162133089124329,-1.0713446424999997,0.0,0.41017474499999995
mp-19306,Fe3O4,2,14,Cubic,5.108710530073788,-1.6295829685714278,0.0,0.013059251428572338
mp-19419,LiFeO2,3,4,Trigonal,4.360258798712209,-1.870063350833333,1.6720000000000002,0.07487339687499972
mp-19511,Li5FeO4,3,80,Orthorhombic,2.7301725409511324,-2.0420257446666676,3.0546,0.0
mp-19770,Fe2O3,2,10,Trigonal,5.143372290086497,-1.7070913529999998,0.0,0.0
mp-21735,LiFe5O8,3,56,Cubic,4.49529652695179,-1.711984710059524,1.318,0.06306247000000287
mp-25236,FeO2,2,3,Trigonal,3.8240681170742508,-1.1486597166666666,0.0,0.2739164108333343
mp-25332,FeO2,2,6,Tetragonal,4.2266535701155314,-1.2554228516666666,0.0,0.16715327583333384
mp-25386,Li(FeO2)2,3,14,Cubic,4.020542631449959,-1.6918477347619043,0.0,0.03237830128571595
mp-31770,Fe3O4,2,14,Orthorhombic,4.902467835926251,-1.627935621428571,0.0,0.014706598571429197
mp-32939,Fe7O8,2,15,Cubic,5.280804446061566,-1.4587677839999997,0.0,0.0979422586666665
mp-33551,LiFe5O8,3,14,Trigonal,4.898361529295826,-1.6385234959523811,1.1879000000000004,0.13652368410714555
mp-505595,Fe3O4,2,28,Orthorhombic,4.851910926802462,-1.4787396389285712,0.35809999999999986,0.16390258107142852
mp-510080,Fe2O3,2,20,Orthorhombic,5.117896042080235,-1.5763701475000005,1.3094999999999999,0.13072120549999866
mp-510252,Fe3O4,2,28,Orthorhombic,4.865094760004309,-1.5701526410714277,0.24350000000000005,0.07248957892857177
mp-510746,Fe5O8,2,52,Cubic,4.531623401783012,-1.477982225961539,0.0,0.1634517673076914
mp-530048,Fe21O32,2,53,Trigonal,4.907492045547028,-1.4962829920754719,0.0,0.19470372551886772
mp-530050,Fe43O64,2,107,Monoclinic,4.582091173654353,-1.5867655496261677,0.8886999999999996,0.11610950495327188
mp-540003,FeO2,2,12,Cubic,4.300834196477164,-1.1024695450000006,0.0,0.32010658250000024
mp-542896,Fe2O3,2,40,Orthorhombic,4.73497833254106,-1.5912467684999996,1.4309,0.11584458449999957
mp-557546,Fe2O3,2,30,Trigonal,4.134636609292254,-1.1792943676666663,0.0,0.5277969853333335
mp-558312,Li2O2,2,8,Hexagonal,2.0008925189353968,-1.5074460079166667,1.6379,0.14272422874999968
mp-560602,O2,1,24,Orthorhombic,1.900746171884904,0.41129867541666637,1.3241,0.4112986754166661
mp-565814,Fe2O3,2,40,Cubic,4.861809525403182,-1.6357924572499996,1.3902,0.07129889575000004
mp-567337,Li,1,8,Cubic,0.5700427417876154,0.008819463333333388,0.0,0.008819463333333388
mp-568345,Fe,1,6,Cubic,6.8134720473942405,0.7614121600000008,0.0,0.7614121600000008
mp-586092,Li3Fe5O8,3,64,Orthorhombic,4.66236104151954,-1.7782995015624996,0.2833999999999999,0.050782906093750135
mp-604313,Li,1,4,Cubic,0.5216169505171735,0.2617987441666667,0.0,0.2617987441666667
mp-607540,O2,1,2,Orthorhombic,2.4009219686995356,0.12115633999999975,0.0,0.12115633999999975
mp-610917,O2,1,2,Trigonal,1.465034570230851,0.012108549999999774,1.2982999999999998,0.012108549999999774
