material,wavelength_um,n,k
BK7,0.3,1.5527702635738705,2.8607e-06
BK7,0.32,1.546428594819673,6.6608e-07
BK7,0.35,1.5391662654267746,9.2894e-08
BK7,0.37,1.535390194265979,2.7405e-08
BK7,0.39,1.53223613808004,1.3731e-08
BK7,0.405,1.5301959309359068,9.0558e-09
BK7,0.436,1.5266678120645565,1.1147e-08
BK7,0.5,1.5214144757734769,9.5781e-09
BK7,0.58,1.5171218220837157,9.2541e-09
BK7,0.66,1.5142069676446184,1.2643e-08
BK7,1.06,1.5066875568966995,1.0137e-08
BK7,1.97,1.4949498034331454,1.0933e-06
BK7,2.5,1.486017709571036,8.13e-06
fused_silica,0.3,1.4877929755577788,0.0
fused_silica,0.4,1.4701161185594052,0.0
fused_silica,0.5,1.4623264867003778,0.0
fused_silica,0.6,1.4580377016844404,0.0
fused_silica,0.8,1.453317254858742,0.0
fused_silica,1.0,1.4504174094068747,0.0
fused_silica,1.5,1.4446176596495854,0.0
fused_silica,2.0,1.43808535287951,0.0
fused_silica,3.0,1.4192465313713454,0.0
fused_silica,5.0,1.3404572894914368,0.0
gold,0.1879,1.28,1.188
gold,0.2033,1.33,1.277
gold,0.2214,1.3,1.427
gold,0.2426,1.32,1.577
gold,0.2689,1.38,1.803
gold,0.3009,1.53,1.889
gold,0.3425,1.48,1.871
gold,0.3974,1.47,1.952
gold,0.4714,1.31,1.849
gold,0.5821,0.29,2.863
gold,0.756,0.14,4.542
gold,1.088,0.27,7.15
gold,1.937,0.92,13.78
silicon,0.25,1.665,3.665
silicon,0.37,6.891,2.171
silicon,0.49,4.35,0.049131
silicon,0.61,3.918,0.018446
silicon,0.73,3.737,0.0089461
silicon,0.85,3.641,0.003612
silicon,0.97,3.583,0.00087225
silicon,1.09,3.545,4.0768e-05
silicon,1.21,3.518,1.2518e-07
silicon,1.33,3.499,8.467e-11
silicon,1.45,3.485,1.3846e-13
