Element,Standard Atomic Weight,Atomic Radius,Structure,Electronegativity,Valence,Melting Point (K),Density (g/cm^3),Heat of Fusion (kJ/mol),Molar Heat Capacity (J/mol*K),Young's Modulus (GPa),Poisson Ratio
Cu,63.546,0.128 nm,FCC,1.8,2+,1357.77,8.96,13.26,24.44,119,0.34
Ni,58.6934,0.125 nm,FCC,1.8,2+,1728,8.908,17.48,26.07,200,0.31
Al,26.981,0.143 nm,FCC,1.5,3+,933.47,2.7,10.71,24.2,70,0.35
Zn,65.38,0.133 nm,HCP,1.7,2+,692.68,7.14,7.32,25.47,108,0.25
Pb,207.2,0.175 nm,FCC,1.6,2+,600.61,11.34,4.77,26.65,16,0.44
Sc,44.955,0.162 nm,HCP,1.4,2+,1814,2.985,14.1,25.52,74.4,0.279
Ti,47.867,0.147 nm,HCP,1.5,4+,1941,4.506,14.15,25.06,116,0.32
V,50.9415,0.134 nm,BCC,1.6,5+,2183,6.11,21.5,24.89,128,0.37
Cr,51.9961,0.128 nm,BCC,1.7,6+,2180,7.19,21,23.35,279,0.21
Ga,69.723,0.135 nm,ORTHO,1.8,3+,302.9146,5.91,5.59,25.86,9.8,0.47
Sn,118.71,0.140 nm,BCT,1.9,2+,505.08,7.265,7.03,27.112,50,0.36
Co,58.933,0.125 nm,HCP,1.9,2+,1768,8.9,16.06,24.81,209,0.31
In,114.818,0.167 nm,BCT,1.8,3+,429.7485,7.31,3.281,26.74,11,N/A
Fe,55.845,0.126 nm,BCC,1.8,2+,1811,7.874,13.81,25.1,211,0.29
