trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
0,2019-08-27 12:30:00,13.3323,7.4463,7.4312,13.4877,21.6636,140.5111,0.48617,8.954,False,True,900,0,23
1,2019-08-27 12:30:00,13.9949,7.0686,7.0482,14.4097,23.4834,158.5911,0.54509,5.344,False,True,900,0,23
2,2019-08-27 12:30:00,14.2195,7.1027,7.0931,14.613,25.138,155.1969,0.53996,5.3,False,True,900,0,23
3,2019-08-27 12:30:00,13.6313,9.4146,9.3808,13.7857,23.7688,81.3185,0.337,56.107,False,True,900,0,23
4,2019-08-27 12:30:00,15.7252,10.9921,10.9579,15.8715,22.5047,78.056,0.36513,44.278,False,True,900,0,23
5,2019-08-27 12:30:00,15.623,10.1205,10.1023,15.7718,23.5439,91.3617,0.35538,26.332,False,True,900,0,23
6,2019-08-27 12:30:00,14.4311,9.9679,9.92,14.5036,22.7038,79.809,0.3198,50.552,False,True,900,0,23
7,2019-08-27 12:30:00,17.6899,11.2771,11.2514,17.8222,25.5793,83.6324,0.45657,0.463,False,True,900,0,23
8,2019-08-27 12:30:00,17.883,9.8977,9.8919,18.4695,24.4216,102.1125,0.44876,0.478,False,True,900,0,23
9,2019-08-27 12:30:00,18.4592,14.6664,14.6188,18.6452,16.7587,77.759,0.31707,127.808,False,True,900,0,23
10,2019-08-27 12:30:00,18.708,14.4689,14.4278,18.9713,16.1614,92.6398,0.36158,82.297,False,True,900,0,23
11,2019-08-27 12:30:00,18.6408,14.93,14.8885,18.7742,16.8504,73.8544,0.28425,148.206,False,True,900,0,23
12,2019-08-27 12:30:00,18.6526,14.1428,14.1088,19.0107,18.5357,92.3075,0.37274,69.947,False,True,900,0,23
13,2019-08-27 12:30:00,18.7461,13.9408,13.8858,19.0901,18.9421,93.8545,0.36835,53.223,False,True,900,0,23
14,2019-08-27 12:30:00,18.8539,14.0461,14.0151,19.2071,18.6347,95.2892,0.36638,55.061,False,True,900,0,23
15,2019-08-27 12:30:00,18.4731,16.0645,13.8363,18.6428,7.8133,-9.7721,0.18686,,True,False,900,0,23
16,2019-08-27 12:30:00,16.5322,16.7743,15.8017,17.4191,0.3816,-47.6954,0.28065,,True,False,900,0,23
17,2019-08-27 12:30:00,17.1149,16.5492,16.4856,17.6758,7.4993,-21.2235,0.11518,,True,False,900,0,23
18,2019-08-27 12:30:00,17.0008,17.0642,16.9612,17.8867,4.5702,-30.5622,0.1472,,True,False,900,0,23
19,2019-08-27 12:30:00,17.2083,16.254,16.1891,17.4717,8.0861,0.9436,0.0917,,True,False,900,0,23
20,2019-08-27 12:30:00,10.7275,16.7843,7.7144,17.6771,3.455,-103.5705,0.75193,,True,False,900,0,23
