material,number_of_elements,critical_temp
Ba0.2La1.8Cu1O4,4,29.0
Ba0.1La1.9Ag0.1Cu0.9O4,5,26.0
Ba0.1La1.9Cu1O4,4,19.0
Ba0.15La1.85Cu1O4,4,22.0
Ba0.3La1.7Cu1O4,4,23.0
Ba0.5La1.5Cu1O4,4,23.0
Ba1La1Cu1O4,4,11.0
Sr0.1La1.9Cu1O4,4,33.0
Sr0.15La1.85Cu1O4,4,36.0
Sr0.2La1.8Cu1O4,4,31.0
Sr0.3La1.7Cu1O4,4,33.0
Ba0.3La1.7Hg0.3Cu0.7O4,5,26.0
Ba0.1La1.9Ag0.05Cu0.95O4,5,27.0
Ba0.1La1.9Ag0.1Cu0.9O4,5,27.0
Ba0.1La1.9Ag0.25Cu0.75O4,5,26.0
Ba0.1La1.9Ag0.5Cu0.5O4,5,27.0
Y1Ba1.5Ca0.5Cu3O7,5,82.0
Ba0.15La1.85Cu1O4,4,30.0
La1.85Sr0.15Cu1O4,4,39.0
La1.95Sr0.05Cu1O4,4,14.8
La1.9Sr0.1Cu1O4,4,30.0
La1.775Sr0.225Cu1O4,4,35.5
La1.75Sr0.25Cu1O4,4,23.3
La1.7Sr0.3Cu1O4,4,18.2
La1.65Sr0.35Cu1O4,4,18.3
La1.6Sr0.4Cu1O4,4,18.3
La1.825Sr0.175Cu1O4,4,37.5
La1.85Ca0.15Cu1O4,4,20.0
Yb16Ba1Cu2O,4,76.9
Yb1.8Ba0.2Cu1O,4,65.3
Yb6Ba1Cu1O,4,78.6
Yb1.62La0.18Ba0.18Sr0.02Cu1O,6,79.3
Y0.4Ba0.6Cu1O,4,90.0
Y0.4Ba0.6Cu1O,4,90.5
Er0.5Ba0.5Cu1O,4,92.0
Tm0.35Ba0.65Cu1O,4,93.2
Tm0.3Ba0.7Cu1O,4,94.4
Tm0.25Ba0.75Cu1O,4,93.2
Tm0.2Ba0.8Cu1O,4,80.5
La2Ba4Cu6O14,4,48.0
Y1Ba2Cu3O,4,90.0
Y1.6Ba2.4Cu3O10,4,90.0
Y1.2Ba1.8Cu2O7,4,92.0
Y0.8Ba1.2Cu1O4,4,80.0
Nd0.4Ba0.6Cu1O,4,85.0
Eu0.4Ba0.6Cu1O3,4,8.0
Gd0.4Ba0.6Cu1O3,4,13.0
Dy0.4Ba0.6Cu1O3,4,91.0
Ho0.4Ba0.6Cu1O3,4,94.0
Er0.4Ba0.6Cu1O3,4,93.0
Tm0.4Ba0.6Cu1O3,4,93.0
Lu0.4Ba0.6Cu1O3,4,91.0
Nd2Ba3Cu5O,4,18.0
Sm1Ba2Cu3O,4,43.0
Gd2Ba3Cu5O,4,40.0
Y1Ba2Cu3O,4,70.0
Y0.3Ba0.7Cu1O3,4,95.5
Y0.8Ba1.2Cu1O,4,94.0
Y0.6Ba0.9Cu1O,4,88.0
Ba0.3La1.7Hg0.15Cu0.85O4,5,28.0
La1.85Sr0.15Cu1O4,4,35.5
Yb1.6La0.2Ba0.2Cu1O,5,79.2
Sr0.35La1.65Cu1O4,4,26.0
Y0.4Ba0.6Cu1O,4,92.0
Yb0.4Ba0.6Cu1O3,4,88.0
Lu1.8Ba0.2Cu1O4,4,71.9
Y0.9Ba0.1Cu1O4,4,81.0
Ba0.15La1.85Cu1O4,4,28.0
Sr0.15La1.85Cu1O4,4,34.7
Sr0.2La1.8Cu0.95Ti0.05O4,5,21.0
Sr0.2La1.8Cu0.99V0.01O4,5,12.0
Sr0.2La1.8Cu0.99Cr0.01O4,5,22.0
Sr0.2La1.8Cu0.98Mn0.02O4,5,32.0
Sr0.2La1.8Cu0.95Fe0.05O4,5,30.0
Sr0.2La1.8Cu0.95Co0.05O4,5,16.0
Sr0.2La1.8Cu0.95Ni0.05O4,5,21.0
Sr0.2La1.8Cu0.99Zn0.01O4,5,29.0
Pr0.1La1.7Sr0.2Cu1O4,5,36.0
Nd0.1La1.7Sr0.2Cu1O4,5,35.0
Sm0.1La1.7Sr0.2Cu1O4,5,32.0
Gd0.1La1.7Sr0.2Cu1O4,5,30.0
Y1Ba2Cu2.85Fe0.15O7,5,51.0
Y1Ba2Cu2.7Fe0.3O7,5,33.0
Y1Ba2Cu2.97Fe0.03O7,5,82.0
Y1Ba2Cu2.94Fe0.06O7,5,60.0
Y1Ba2Cu2.88Fe0.12O7,5,54.0
Y1Ba2Cu3O7,4,90.0
Y1Ba2Cu3S1O6,5,90.0
Y1Ba2Cu3Cl1O6,5,72.0
Y1Ba2Cu3O7,4,92.0
Y1Ba2Cu3O7,4,93.0
Gd1Ba2Cu3O7,4,94.5
Y1Ba2Cu3O7,4,91.85
Y1Ba2Cu3O7,4,91.95
Y1Ba2Cu3O7,4,89.7
Y1Ba2Cu3O7,4,89.9
Ho1Ba2Cu3O8,4,85.0
Y0.1Gd0.9Ba2Cu3O8,5,90.5
Y1Ba2Cu3O7,4,130.0
Y1Ba2Cu3O7,4,88.8
Y1Ba2Cu3O7,4,85.5
Y3Ba5Cu4Nb1O18,5,77.3
Sm0.45Ba0.55Cu1O3,4,69.0
Sm0.4Ba0.6Cu1O3,4,84.3
Sm0.33Ba0.67Cu1O7,4,86.4
Sm0.3Ba0.7Cu1O3,4,88.8
Sm0.25Ba0.75Cu1O3,4,73.6
Sm0.2Ba0.8Cu1O3,4,62.5
Sm0.35Ba0.65Cu1O3,4,93.1
Y1Ba2Cu3O9,4,92.0
Bi2Sr2Cu2O7,4,22.0
Bi1Sr1Cu1O,4,6.5
Er1Ba2Cu3O,4,85.5
Ho1Ba2Cu3O,4,91.0
Gd1Ba2Cu3O,4,93.0
Y1Ba2Cu3O6.9,4,95.0
Eu1.5Ba1.5Cu3O,4,89.5
Gd1.5Ba1.5Cu3O,4,92.5
Y1.5Ba1.5Cu3O,4,90.0
Yb1.5Ba1.5Cu3O,4,90.0
Y1Ba2Cu3O7,4,91.6
Y1Ba2Cu2.75Ni0.25O7,5,63.9
Y1Ba2Cu2.95Al0.05O7,5,88.0
Y1Ba2Cu2.9Al0.1O7,5,75.0
La1.85Sr0.15Cu1O4,4,39.3
La1.85Sr0.15Cu0.975Ni0.025O4,5,22.6
La1.85Sr0.15Cu0.95Ni0.05O4,5,4.2
Y1Ba2Cu2.89Al0.11O7,5,82.0
Y1Ba2Cu2.88Al0.12O7,5,51.0
Y1Ba2Cu2.87Al0.13O7,5,45.0
Y1Ba2Cu2.865Al0.135O7,5,45.0
Y1Ba2Cu2.82Al0.18O7,5,20.0
Y1Ba2Cu3O7,4,92.4
Y1Ba2Cu3O6.8,4,91.6
Er1Ba2Cu3O7,4,86.0
Y1Ba2Cu3H0.14O7,5,92.5
Y1Ba2Cu3H0.48O7,5,93.6
Y1Ba2Cu3H1O7,5,93.2
Y1Ba2Cu3O9,4,90.0
Eu1Ba2Cu3O7.1,4,94.9
Gd1Ba2Cu3O7.08,4,93.8
Dy1Ba2Cu3O6.82,4,92.7
Ho1Ba2Cu3O6.71,4,92.9
Er1Ba2Cu3O6.82,4,92.4
Tm1Ba2Cu3O6.65,4,92.5
Yb1Ba2Cu3O6.71,4,87.0
Lu1Ba2Cu3O7,4,89.5
Y1Ba2Cu3O6.72,4,93.4
Nd1Ba2Cu3O7.16,4,95.3
Sm1Ba2Cu3O7.11,4,93.5
La1.85Sr0.15Cu1O4,4,37.1
La1.85Sr0.15Cu1O4,4,33.0
Y1Ba2.01Cu2.81Ni0.19O6.7,5,65.0
Y1Ba2.02Cu2.18Zn0.82O7,5,30.0
