study_id,composition,dopant_family,Cu_stoichiometry,zT_350C,zT_max,zT_max_temp_C,zT_max_temp_K,seebeck_350C_uVK,seebeck_at_zTmax_uVK,conductivity_350C_1e4Sm,conductivity_at_zTmax_1e4Sm,thermal_conductivity_350C_WmK,thermal_conductivity_at_zTmax_WmK,carrier_concentration_cm3,synthesis,compaction,sintering_type,sintering_temp_K,sintering_temp_C,relative_density_pct,density_g_cm3,theoretical_density_g_cm3,density_reference,remarks,citation
Suekuni 2012,Undoped,Undoped,12.0,,0.13,67.0,340.0,,,,,,,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,75.0,,,,,Suekuni. K.. Tsuruta. K.. Ariga. T.. & Koyano. M. (2012). Thermoelectric properties of mineral tetrahedrites Cu 10Tr 2Sb 4S 13 with low thermal conductivity. Applied Physics Express. 5(5). https://doi.org/10.1143/APEX.5.051201
Suekuni 2013,Undoped,Undoped,12.0,0.44,0.5,392.0,665.0,114.0,120.51,8.4,7.91,1.54,1.54,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h)  + HP 803K 1h 60MPa,HP,803.0,,96.0,,,,,"Suekuni, K., Tsuruta, K., Kunii, M., Nishiate, H., Nishibori, E., Maki, S., Ohta, M., Yamamoto, A., & Koyano, M. (2013). High-performance thermoelectric mineral Cu12-xNi xSb4S13 tetrahedrite. Journal of Applied Physics, 113(4). https://doi.org/10.1063/1.4789389"
Lu 2013,Undoped,Undoped,12.0,0.45,0.55,400.0,,122.73,134.09,2.27,2.08,,,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (2 weeks)+ HP 80MPa 723 K (30min),HP,722.0,,98.0,,,,,"Lu, X., & Morelli, D. T. (2013). Natural mineral tetrahedrite as a direct source of thermoelectric materials. Physical Chemistry Chemical Physics, 15(16), 5762–5766. https://doi.org/10.1039/c3cp50920f"
Lu 2013 Zn,Undoped,Undoped,12.0,0.49,0.56,400.0,673.0,121.26,132.28,7.69,7.14,1.48,1.5,,quartz tube.  923 K (12h). BM(5min),CP + quartz tube annealing  at 723 K (2 weeks)+ HP 80MPa 723 K (30min),HP,723.0,,98.0,,,,,"Lu, X., Morelli, D. T., Xia, Y., Zhou, F., Ozolins, V., Chi, H., Zhou, X., & Uher, C. (2013). High performance thermoelectricity in earth-abundant compounds based on natural mineral tetrahedrites. Advanced Energy Materials, 3(3), 342–348. https://doi.org/10.1002/aenm.201200650"
Chetty 2015_Co,Undoped,Undoped,12.0,0.64,0.7,400.0,673.0,145.0,125.0,6.8,6.25,1.37,1.35,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,95.0,,,,,Chetty. R.. Bali. A.. Naik. M. H.. Rogl. G.. Rogl. P.. Jain. M.. Suwas. S.. & Mallik. R. C. (2015). Thermoelectric properties of Co substituted synthetic tetrahedrite. Acta Materialia. 100. 266–274. https://doi.org/10.1016/j.actamat.2015.08.040
Chetty 2015_Mn,Undoped,Undoped,12.0,0.76,0.76,350.0,623.0,137.0,140.0,9.09,9.09,1.37,1.37,,quartz tube.  973 K (3h). 823 K (30h),CP + quartz tube annealing  at 773 K (25h),CP,773.0,,95.0,,,,,Chetty. R.. Prem Kumar. D. S.. Rogl. G.. Rogl. P.. Bauer. E.. Michor. H.. Suwas. S.. Puchegger. S.. Giester. G.. & Mallik. R. C. (2015). Thermoelectric properties of a Mn substituted synthetic tetrahedrite. Physical Chemistry Chemical Physics. 17(3). 1716–1727. https://doi.org/10.1039/c4cp04039b
Thesis_2015 Bouyrie,Undoped,Undoped,12.0,0.61,0.65,400.0,673.0,122.0,135.0,6.8,6.7,0.99,1.1,,quartz tube.  923 K (12h). HR 0.3/min CR 0.3K/min,SPS 80MPa. 573 K (4min). 723(4min),SPS,723.0,,99.0,,,,,"Bouyrie, Y. (2015). Identification, synthèse et caractérisation de phases tétraédrites pour la conversion d’énergie par effets thermoélectriques. https://theses.hal.science/tel-01599972v1"
Thesis_2016_Pg 80,Undoped,Undoped,12.0,0.8,0.8,350.0,623.0,155.0,155.0,5.5,5.5,0.93,0.93,,MA 450rpm 20h,CP + quartz tube annealing  at 1173 K (12h)+723 K(48h),Other,723.0,,99.0,4.99,5.07,,,"Chen, K. (2016). Synthesis and Thermoelectric Properties of Cu-Sb-S Compounds Declaration."
Kim_2019,Undoped,Undoped,12.0,0.69,0.87,450.0,723.0,176.0,175.0,3.0,2.8,0.77,0.75,3.12e+20,MA 300-400rpm  12-48h,HP 723 K (2h) 70 MPa,HP,723.0,,99.0,4.95008,4.99,"J.W. Anthony, R.A. Bideaux, K.W. Bladh, and M.C. Ni-",Specimen: HP723K2H,Kim. S. Y.. Kwak. S. G.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2019). Preparation of Tetrahedrite Cu 12 Sb 4 S 13 by Mechanical Alloying and Hot Pressing. Journal of Electronic Materials. 48(4). 1857–1863. https://doi.org/10.1007/s11664-018-6549-2
Kim_2019,Undoped,Undoped,12.0,0.7,0.84,450.0,,167.0,175.0,3.6,3.5,0.9,0.85,,MA 300-400rpm  12-48h,HP 673 K (2h) 70 MPa,HP,673.0,,99.0,,,"chols, Handbook of Mineralogy, Vol. I (Chantilly: Miner-",Specimen: HP623K2H,Kim. S. Y.. Kwak. S. G.. Pi. J. H.. Lee. G. E.. & Kim. I. H. (2019). Preparation of Tetrahedrite Cu 12 Sb 4 S 13 by Mechanical Alloying and Hot Pressing. Journal of Electronic Materials. 48(4). 1857–1863. https://doi.org/10.1007/s11664-018-6549-2
